"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"EMES","Emerge Energy Services LP","2.33","$72.31M","2013","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/emes",
"EBS","Emergent Biosolutions, Inc.","63.9","$3.26B","2006","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ebs",
"EMR","Emerson Electric Company","61.4","$38.26B","n/a","Energy","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/emr",
"ESRT","Empire State Realty Trust, Inc.","14.8","$4.56B","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/esrt",
"EIG","Employers Holdings Inc","42.39","$1.39B","2007","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/eig",
"EDN","Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor)","27.75","$1.23B","2007","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/edn",
"ENBL","Enable Midstream Partners, LP","15.51","$6.72B","2014","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/enbl",
"ENB","Enbridge Inc","34.48","$69.71B","n/a","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/enb",
"ENBA","Enbridge Inc","25.19","n/a","2018","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/enba",
"ECA","Encana Corporation","6.49","$6.18B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/eca",
"EHC","Encompass Health Corporation","65.25","$6.46B","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/ehc",
"DAVA","Endava plc","24.025","$1.27B","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/dava",
"EXK","Endeavour Silver Corporation","2.27","$296.36M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/exk",
"ENIA","Enel Americas S.A.","9.7","$11.32B","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/enia",
